"LOCALE","en_GB","en_US"
"WARN_INAME_RESERS","Internal name is a reserved file name","Internal name is a reserved file name"
"WARN_INAME_RESERW","Paint job internal name is a reserved file name","Paint job internal name is a reserved file name"
"WARN_INAME_CONF","The following paint jobs have the same internal name:","The following paint jobs have the same internal name:"
"WARN_INAME_CONFS","Conflicting internal names","Conflicting internal names"
"WARN_INAME_CONFW","Conflicting paint job internal names","Conflicting paint job internal names"
"WARN_VEH_NONE","Please select at least one truck, trailer or mod for your paint job to support","Please select at least one truck, trailer or mod for your paint job to support"
"WARN_VEH_NONES","No vehicles selected","No vehicles selected"
"WARN_VEH_INCOM","Incompatible vehicles","Incompatible vehicles"
"WARN_TEXT","The following errors need to be fixed before continuing:","The following errors need to be fixed before continuing:"
"CONFIRM_STARTT","Return to Start?","Return to Start?"
"CONFIRM_START","You will lose all unsaved progress if you return to the start.","You will lose all unsaved progress if you return to the start."
"CONFIRM_TEXT","Are you sure you want to continue?","Are you sure you want to continue?"
"CONFIRM_LOADT","Load Project?","Load Project?"
"CONFIRM_LOAD","You will lose all unsaved progress if you load a project.","You will lose all unsaved progress if you load a project."
"CONFIRM_SAVET","Not Exporting Mod","Not Exporting Mod"
"CONFIRM_SAVE","This function is for saving your Paint Job Packer project to come back to later, NOT for exporting your mod.","This function is for saving your Paint Job Packer project to come back to later, NOT for exporting your mod."
"CONFIRM_SAVEE","To export your mod, press Export from the In-Game Paint Job Info screen.","To export your mod, press Export from the In-Game Paint Job Info screen."
"SAVE_TITLE","Save Project","Save Project"
"SAVE_INVALT","Not a Valid Project File","Not a Valid Project File"
"SAVE_INVAL","Selected file is not a Paint Job Packer project file.","Selected file is not a Paint Job Packer project file."
"SAVE_INVALQ","Would you like to save as %s instead?","Would you like to save as %s instead?"
"LOAD_TITLE","Load Project","Load Project"
"LOAD_INVAL","Please select a .pjpproject file.","Please select a .pjpproject file."
"EXPORT_TITLE","Mod Export Options","Mod Export Options"
"EXPORT_CHOOSE","Choose export location","Choose export location"
"EXPORT_SELECT","Please select a location to export your mod","Please select a location to export your mod"
"EXPORT_FOLDER","Selected location: %s","Selected location: %s"
"EXPORT_CREATE","%s folder will be created","%s folder will be created"
"EXPORT_EMPTY","Use empty placeholders","Use empty placeholders"
"EXPORT_TEMPLATES","Use templates","Use templates"
"EXPORT_WINDOW","Export Mod","Export Mod"
"EXPORT_EXISTST","Folder Exists","Folder Exists"
"EXPORT_EXISTS","The folder %s already exists.","The folder %s already exists."
"EXPORT_EXISTS2","Please choose a different location, or delete the %s folder.","Please choose a different location, or delete the %s folder."
"EXPORT_READY","Ready to export mod :)","Ready to export mod :)"
"EXPORT_DONET","Export Complete","Export Complete"
"EXPORT_DONE","Your mod has been exported to:","Your mod has been exported to:"
"EXPORT_DONE2","Thanks for using Paint Job Packer! Press okay to exit","Thanks for using Paint Job Packer! Press okay to exit"
"THEME_DARK","Dark Mode","Dark Mode"
"THEME_LIGHT","Light Mode","Light Mode"
"WSHOP_LOCAL","Do not generate Steam Workshop files","Do not generate Steam Workshop files"
"WSHOP_WSHOP","Generate Steam Workshop files","Generate Steam Workshop files"
"CHANGE_TITLE","Colour Mask Mode","Color Mask Mode"
"CHANGE_DEFAULT","Default colour:","Default color:"
"CHANGE_RED","Red","Red"
"CHANGE_GREEN","Green","Green"
"CHANGE_BLUE","Blue","Blue"
"CHANGE_ENABLE","Enabled","Enabled"
"CHANGE_USER","User changeable","User changeable"
"HELP_MNAME","Your mod's name, in the mod manager","Your mod's name, in the mod manager"
"HELP_MAUTH","Your mod's author, in the mod manager","Your mod's author, in the mod manager"
"HELP_MVER","Your mod's version, in the mod manager","Your mod's version, in the mod manager"
"HELP_MDESC","Your mod's description, in the mod manager","Your mod's description, in the mod manager"
"HELP_PNAME","Your paint job's name, shown at the upgrade shop in-game","Your paint job's name, shown at the upgrade shop in-game"
"HELP_PRICE","How much your paint job costs at the in-game upgrade shop","How much your paint job costs at the in-game upgrade shop"
"HELP_UNLOCK","What level users can purchase your paint job from, or whether it is unlocked by default on a new profile","What level users can purchase your paint job from, or whether it is unlocked by default on a new profile"
"HELP_INAME","A unique name used by the game to identify your paint job. Mod users will NOT see this name","A unique name used by the game to identify your paint job. Mod users will NOT see this name"
"HELP_CABIN","Whether your paint job supports only the largest cabin for each truck, or all cabins","Whether your paint job supports only the largest cabin for each truck, or all cabins"
"HELP_SPLIT","Whether to make a single paint job for each truck, or to split it up and make one for each cabin","Whether to make a single paint job for each truck, or to split it up and make one for each cabin"
"HELP_BASE","The colour that shows through any transparent parts of your paint job","The color that shows through any transparent parts of your paint job"
"HELP_CHANGE","Requires you to make a paint job mask with red, green and blue instead of a regular paint job. Allows for multiple changeable colours, but not full-colour logos and such.","Requires you to make a paint job mask with red, green and blue instead of a regular paint job. Allows for multiple changeable colors, but not full-color logos and such."
"HELP_CHANGER","Shows through bright red (#FF0000)","Shows through bright red (#FF0000)"
"HELP_CHANGEG","Shows through bright green (#00FF00)","Shows through bright green (#00FF00)"
"HELP_CHANGEB","Shows through bright blue (#0000FF)","Shows through bright blue (#0000FF)"
"CHANGE_BASE","Base Colour","Base Color"
